ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
10738	201289_at	5.9602062663123	6.22692774327403	23.9438765261559	1.78922089992807e-17	9.7825652703567e-13	25.4012374511717
18604	209189_at	5.14350174656242	7.48730509370596	17.4299543984976	1.56021176299823e-14	2.84348593806427e-10	21.0211956747102
11143	201694_s_at	4.1480811895306	7.0382806959655	16.4603985446587	5.15311703595195e-14	7.04366684851682e-10	20.1496289835752
10490	201041_s_at	2.42988865594274	9.59441305049854	14.0689069063649	1.29370563631371e-12	1.41466711330904e-08	17.6688329981208
10913	201464_x_at	1.53112566839074	8.22104387747827	10.9863429656966	1.68551944711316e-10	1.15194719713640e-06	13.6118928482782
11463	202014_at	1.42926930199389	5.32764715474451	10.4590581015326	4.27425071398489e-10	2.4187709635888e-06	12.8013115955673
31443	222162_s_at	3.93766260465030	5.705888667369	10.3958619556798	4.78875545006462e-10	2.4187709635888e-06	12.7016246257367
53303	244052_at	-1.14707712495062	6.03637938154843	-10.3869518064204	4.86629732043471e-10	2.4187709635888e-06	12.6875251895091
16024	206577_at	4.71576732377728	5.19163494156815	10.0054414840735	9.76574754796958e-10	4.44951872654364e-06	12.0734170170531
18516	209101_at	3.44760390387296	6.71627863797324	9.72636723684096	1.64358923416319e-09	6.91255702906712e-06	11.6111089367099
11740	202291_s_at	3.5773362635042	6.80455246493402	9.419328667375	2.94674603596021e-09	1.07408893010750e-05	11.0894161202130
14403	204955_at	2.62419966350463	5.82946952933977	9.24149013617397	4.15475239446806e-09	1.40808885381261e-05	10.7808916315066
12217	202768_at	3.46760002323969	5.55920301461713	8.85258650357735	8.93169400566843e-09	2.71300205422179e-05	10.0896906576871
34500	225242_s_at	2.80897066093399	5.18573684718928	8.78135530846206	1.02975345202066e-08	2.91767330491711e-05	9.9606111756321
16070	206623_at	-1.48343463347580	4.9503874354385	-8.73639343138184	1.12691082881472e-08	2.91767330491711e-05	9.8787368065599
10922	201473_at	1.22023453120884	7.11983594988469	8.73019154260524	1.14103676206053e-08	2.91767330491711e-05	9.8674191206911
11530	202081_at	0.943232448330878	8.53611427291109	8.71601945349786	1.17400663389440e-08	2.91767330491711e-05	9.8415347471832
10980	201531_at	1.45634352953220	8.61617622989635	8.60293035846394	1.47501404474586e-08	3.50636490854261e-05	9.63388436004158
21306	211998_at	1.09957708095776	6.66897989095235	8.54805010223733	1.64878130496952e-08	3.65929938470417e-05	9.5324086906347
15787	206340_at	-2.4462079610495	4.682640782651	-8.54081857844371	1.67320502272710e-08	3.65929938470417e-05	9.51900285015156
18179	208763_s_at	2.27285845326819	7.33345410364318	8.49740034698413	1.82790842632549e-08	3.84388050805178e-05	9.43834490607163
37441	228186_s_at	2.26551146930371	5.10214359501018	8.28581408219998	2.82267585208498e-08	5.71591860047209e-05	9.0411271583424
16202	206755_at	-1.20182218642364	2.87486052376835	-8.256292693699	3.00051066315091e-08	5.8590328752777e-05	8.98515659249623
40985	231730_at	-1.26416021425668	3.24184493725497	-8.17965254757934	3.51815782384096e-08	6.6329406558105e-05	8.839223329536
26125	216834_at	3.46551782158953	6.82597544094586	8.15445218024758	3.70780797949891e-08	6.75748004263677e-05	8.79103999570734
10435	200986_at	1.76671493785752	6.39430146493089	8.05478800714998	4.56726605782848e-08	7.80360224099288e-05	8.59951862576512
21406	212099_at	2.49381539190454	8.112132160106	8.02417434686465	4.87060221734536e-08	8.06970231010174e-05	8.54038081090657
27827	218541_s_at	1.93670190686240	6.02226000346637	7.9546842882482	5.63864378070122e-08	8.8083671059954e-05	8.40560549299953
12030	202581_at	-2.12319970095555	5.99580287558843	-7.93361776808782	5.89533539390582e-08	8.95354062949446e-05	8.36459959997737
22372	213068_at	2.93860965333385	4.77731880996205	7.91714688317749	6.10439567056867e-08	9.020481980766e-05	8.3324912731597
10836	201387_s_at	2.63841987638190	5.44485670507312	7.86306530136714	6.84614350830196e-08	9.60179451293515e-05	8.22676965955589
21267	211959_at	2.89121076305059	7.87969185424301	7.83005617493949	7.34391052957805e-08	0.00010038207705117	8.16201941980995
2619	1555847_a_at	1.79157894295019	6.04672108824682	7.80703307813985	7.71302806848191e-08	0.000102856051132744	8.11675796903866
